Time (s),X (m),Y (m),Z (m),X (deg),Y (deg),Z (deg)
0.0,1.0,0.0,0,0,0,0.0
0.009999999999999998,1.0,0.0,0,0,0,0.0
0.019999999999999997,1.0,0.0,0,0,0,0.0
0.029999999999999995,1.0,0.0,0,0,0,0.0
0.039999999999999994,1.0,0.0,0,0,0,0.0
0.04999999999999999,1.0,0.0,0,0,0,0.0
0.05999999999999999,1.0,0.0,0,0,0,0.0
0.06999999999999999,1.0,0.0,0,0,0,0.0
0.07999999999999999,1.0,0.0,0,0,0,0.0
0.08999999999999998,1.0,0.0,0,0,0,0.0
0.09999999999999998,1.0,0.0,0,0,0,0.0
0.10999999999999999,1.0,0.0,0,0,0,0.0
0.11999999999999998,1.0,0.0,0,0,0,0.0
0.12999999999999998,1.0,0.0,0,0,0,0.0
0.13999999999999999,1.0,0.0,0,0,0,0.0
0.14999999999999997,1.0,0.0,0,0,0,0.0
0.15999999999999998,1.0,0.0,0,0,0,0.0
0.16999999999999998,1.0,0.0,0,0,0,0.0
0.17999999999999997,1.0,0.0,0,0,0,0.0
0.18999999999999997,1.0,0.0,0,0,0,0.0
0.19999999999999996,1.0,0.0,0,0,0,0.0
0.20999999999999996,1.0,0.0,0,0,0,0.0
0.21999999999999997,1.0,0.0,0,0,0,0.0
0.22999999999999995,1.0,0.0,0,0,0,0.0
0.23999999999999996,1.0,0.0,0,0,0,0.0
0.24999999999999997,1.0,0.0,0,0,0,0.0
0.25999999999999995,1.0,0.0,0,0,0,0.0
0.26999999999999996,1.0,0.0,0,0,0,0.0
0.27999999999999997,1.0,0.0,0,0,0,0.0
0.29,1.0,0.0,0,0,0,0.0
0.29999999999999993,1.0,0.0,0,0,0,0.0
0.30999999999999994,1.0,0.0,0,0,0,0.0
0.31999999999999995,1.0,0.0,0,0,0,0.0
0.32999999999999996,1.0,0.0,0,0,0,0.0
0.33999999999999997,1.0,0.0,0,0,0,0.0
0.3499999999999999,1.0,0.0,0,0,0,0.0
0.35999999999999993,1.0,0.0,0,0,0,0.0
0.36999999999999994,1.0,0.0,0,0,0,0.0
0.37999999999999995,1.0,0.0,0,0,0,0.0
0.38999999999999996,1.0,0.0,0,0,0,0.0
0.3999999999999999,1.0,0.0,0,0,0,0.0
0.4099999999999999,1.0,0.0,0,0,0,0.0
0.41999999999999993,1.0,0.0,0,0,0,0.0
0.42999999999999994,1.0,0.0,0,0,0,0.0
0.43999999999999995,1.0,0.0,0,0,0,0.0
0.44999999999999996,1.0,0.0,0,0,0,0.0
0.4599999999999999,1.0,0.0,0,0,0,0.0
0.4699999999999999,1.0,0.0,0,0,0,0.0
0.4799999999999999,1.0,0.0,0,0,0,0.0
0.48999999999999994,1.0,0.0,0,0,0,0.0
0.49999999999999994,1.0,0.0,0,0,0,0.0
0.5099999999999999,1.0,0.0,0,0,0,0.0
0.5199999999999999,1.0,0.0,0,0,0,0.0
0.5299999999999999,1.0,0.0,0,0,0,0.0
0.5399999999999999,1.0,0.0,0,0,0,0.0
0.5499999999999999,1.0,0.0,0,0,0,0.0
0.5599999999999999,1.0,0.0,0,0,0,0.0
0.57,1.0,0.0,0,0,0,0.0
0.58,1.0,0.0,0,0,0,0.0
0.5899999999999999,1.0,0.0,0,0,0,0.0
0.5999999999999999,1.0,0.0,0,0,0,0.0
0.6099999999999999,1.0,0.0,0,0,0,0.0
0.6199999999999999,1.0,0.0,0,0,0,0.0
0.6299999999999999,1.0,0.0,0,0,0,0.0
0.6399999999999999,1.0,0.0,0,0,0,0.0
0.6499999999999999,1.0,0.0,0,0,0,0.0
0.6599999999999999,1.0,0.0,0,0,0,0.0
0.6699999999999999,1.0,0.0,0,0,0,0.0
0.6799999999999999,1.0,0.0,0,0,0,0.0
0.69,1.0,0.0,0,0,0,0.0
0.6999999999999998,1.0,0.0,0,0,0,0.0
0.7099999999999999,1.0,0.0,0,0,0,0.0
0.7199999999999999,1.0,0.0,0,0,0,0.0
0.7299999999999999,1.0,0.0,0,0,0,0.0
0.7399999999999999,1.0,0.0,0,0,0,0.0
0.7499999999999999,1.0,0.0,0,0,0,0.0
0.7599999999999999,1.0,0.0,0,0,0,0.0
0.7699999999999999,1.0,0.0,0,0,0,0.0
0.7799999999999999,1.0,0.0,0,0,0,0.0
0.7899999999999999,1.0,0.0,0,0,0,0.0
0.7999999999999998,1.0,0.0,0,0,0,0.0
0.8099999999999998,1.0,0.0,0,0,0,0.0
0.8199999999999998,1.0,0.0,0,0,0,0.0
0.8299999999999998,1.0,0.0,0,0,0,0.0
0.8399999999999999,1.0,0.0,0,0,0,0.0
0.8499999999999999,1.0,0.0,0,0,0,0.0
0.8599999999999999,1.0,0.0,0,0,0,0.0
0.8699999999999999,1.0,0.0,0,0,0,0.0
0.8799999999999999,1.0,0.0,0,0,0,0.0
0.8899999999999999,1.0,0.0,0,0,0,0.0
0.8999999999999999,1.0,0.0,0,0,0,0.0
0.9099999999999998,1.0,0.0,0,0,0,0.0
0.9199999999999998,1.0,0.0,0,0,0,0.0
0.9299999999999998,1.0,0.0,0,0,0,0.0
0.9399999999999998,1.0,0.0,0,0,0,0.0
0.9499999999999998,1.0,0.0,0,0,0,0.0
0.9599999999999999,1.0,0.0,0,0,0,0.0
0.9699999999999999,1.0,0.0,0,0,0,0.0
0.9799999999999999,1.0,0.0,0,0,0,0.0
0.9899999999999999,1.0,0.0,0,0,0,0.0
0.9999999999999999,1.0,0.0,0,0,0,0.0
1.0099999999999998,1.0,0.0,0,0,0,0.0
1.0199999999999998,1.0,0.0,0,0,0,0.0
1.0299999999999998,1.0,0.0,0,0,0,0.0
1.0399999999999998,1.0,0.0,0,0,0,0.0
1.0499999999999998,1.0,0.0,0,0,0,0.0
1.0599999999999998,1.0,0.0,0,0,0,0.0
1.0699999999999998,1.0,0.0,0,0,0,0.0
1.0799999999999998,1.0,0.0,0,0,0,0.0
1.0899999999999999,1.0,0.0,0,0,0,0.0
1.0999999999999999,1.0,0.0,0,0,0,0.0
1.1099999999999999,1.0,0.0,0,0,0,0.0
1.1199999999999999,1.0,0.0,0,0,0,0.0
